"inn"@;@"name"@;@"region_soato"@;@"district_soato"
"306087773"@;@"""TREND-PRODUCTS"" MCHJ"@;@"1726"@;@"1726294"
"307067583"@;@"""FAXIRLI-SIFAT"" MCHJ"@;@"1727"@;@"1727265"
"201059196"@;@"ТШ ""SANTEXGAZMAXSUSQURILISH VA KOMPANIYA"""@;@"1726"@;@
"306976750"@;@"""OASIS GOODS"" MCHJ"@;@"1726"@;@"1726266"
"311274659"@;@"""ORIF STROY SS"" MCHJ"@;@"1722"@;@"1722214"
"302640294"@;@OOO BERKAN TRADE@;@"1726"@;@
"305974271"@;@"""GAMMA PROF"" XK"@;@"1730"@;@"1730218"
"305492144"@;@"""IDEAL PRINT HOUSE"" MCHJ"@;@"1727"@;@"1727228"
"301646531"@;@"""PARAMOUNT EXCLUSIVE SERVICE"" MCHJ"@;@"1726"@;@
"310137725"@;@ООО SHAHRAM WORLDWIDE LOGISTICS@;@"1733"@;@
"302618841"@;@"""KUBRO TEKSTIL SANOAT"" MCHJ"@;@"1714"@;@"1714401365"
"305854247"@;@"""LIDER-CABEL GROUP"" MCHJ"@;@"1727"@;@"1727237"
"306208977"@;@"""UMIDJON BAXTIYOR ALIMOVLAR"" MCHJ"@;@"1714"@;@"1714234"
"310137685"@;@AZIZ AMIN LOGISTICS MCHJ@;@"1706"@;@
"303420962"@;@DIANA DONIYORBEK SAVDO INVEST  MCHJ@;@"1733"@;@"1733230"
"307955468"@;@"OOO  ""MODERN HOME SOFA"""@;@"1726"@;@
"306851550"@;@"""SALOHIDDIN IBROXIMZODA"" OK"@;@"1718"@;@"1718236"
"311033585"@;@"ООО ""NEW SKY GROUP"""@;@"1726"@;@
"307904198"@;@"""ELIMIX DUNYOSI"" XK"@;@"1710"@;@"1710232"
"311332016"@;@"""MUSTANG TRUCKS LOGISTICS"" MCHJ"@;@"1714"@;@
"309705389"@;@"""SAMPLAST PRODUCTS"" MCHJ"@;@"1718"@;@"1718401"
"306841452"@;@"""S-U-ALI"" MCHJ"@;@"1718"@;@"1718236"
"300588178"@;@"""MAGFA UNIVERSAL "" XK"@;@"1710"@;@"1710229"
"305525236"@;@"""IFOR ASH"" MCHJ"@;@"1726"@;@"1726277"
"311684797"@;@"""NANAY BUNYODKORI"" MCHJ"@;@"1714"@;@"1714242"
"310572099"@;@"""SETKA TRADE"" MCHJ"@;@"1727"@;@"1727237"
"308138747"@;@"""YAZ-N-TEX"" MCHJ"@;@"1730"@;@"1730242"
"307418256"@;@"""NURAFSHON - BARAKA NON"" OK"@;@"1727"@;@"1727401"
"309574878"@;@"""MURTAZAQUL OTA NONLARI"" OK"@;@"1708"@;@"1708218"
"306922074"@;@"""M I R   T E X"" MCHJ"@;@"1727"@;@"1727424"
"304580692"@;@OOO ?NARIL TEXTILE INVEST?@;@"1730"@;@
"304810714"@;@"""ZARAFSHON ISSIQ NONLARI"" MCHJ"@;@"1718"@;@"1718227"
"307291211"@;@"""ANVARJON METAL SERVIS 2020"" MCHJ"@;@"1706"@;@"1706232"
"311050605"@;@"""ASL TEX 2024"" MCHJ"@;@"1706"@;@"1706230"
"201108640"@;@ООО CHORVANASL@;@"1706"@;@
"311519952"@;@"OOO ""Wuling Trade"""@;@"1726"@;@
"306021809"@;@"ООО ""AAA WOOD"""@;@"1727"@;@
"206681734"@;@"""SHAMS TEKS BIZNES"" MCHJ"@;@"1726"@;@"1726280"
"304866407"@;@"""MEXMET SWEATS"" OK"@;@"1718"@;@"1718401"
"309080060"@;@"""SHOXRUX CHINNI BUYUMLAR"" XK"@;@"1730"@;@"1730224"
"304599675"@;@"""NUROBOD ASIL NON LAZZATI"""@;@"1718"@;@"1718235"
"310284354"@;@"""MOXLARBEGIM LIBOSLAR OLAMI"" OK"@;@"1706"@;@"1706204"
"306264592"@;@"""EDU PRESS"" MCHJ"@;@"1726"@;@"1726262"
"200654240"@;@"""PRINTOFF"" MCHJ"@;@"1726"@;@"1726294"
"311079623"@;@"""KOGON MILENIUM MXX GIPS"" MCHJ"@;@"1706"@;@"1706219"
"311458602"@;@"""Archa Trade"" XK"@;@"1726"@;@
"301488396"@;@"ООО ""BETAKROR FAYZ"""@;@"1726"@;@
"300145364"@;@"""PROM-GRAPHITE"" MCHJ"@;@"1718"@;@"1718401"
"304995706"@;@"""SURXONNON ISTIQBOL-SARI"" MCHJ"@;@"1722"@;@"1722401"
"302249573"@;@"""SHARQ TEMIR BETON MAXSULOTLARI"" XK"@;@"1706"@;@"1706401"
"307024644"@;@KOGON TOZA SUV OK@;@"1706"@;@"1706403"
"310816386"@;@"ООО""QURBANOV TRANS"""@;@"1712"@;@
