"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"market_by_tnved"@;@"fm"@;@"pl_2"@;@"coef_gotovnosti"@;@"pl_3"@;@"ilp"
"8413705909"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"2207200000"@;@914@;@@;@13 876 114@;@15 313 592@;@9 707 102@;@9 296 620@;@4 580 408@;@1 437 478@;@914@;@0,3@;@274,2@;@100
"2711139700"@;@7 489 988@;@@;@@;@@;@@;@@;@7 489 988@;@@;@@;@0@;@@;@0,5
"9401200009"@;@896 261@;@1 419 538@;@4 132 895@;@4 133 285@;@1 003 363@;@3 129 532@;@1 899 624@;@390@;@390@;@1@;@390@;@0,44
"7326909809"@;@@;@@;@474 383@;@492 009@;@510 461@;@3 881@;@510 461@;@17 626@;@@;@0,3@;@@;@
"9507209000"@;@1 519@;@539@;@@;@@;@@;@@;@1 519@;@@;@@;@0,3@;@@;@0,56
"406303100"@;@@;@@;@2 736 465@;@3 150 451@;@2 736 465@;@@;@2 736 465@;@413 986@;@@;@0,3@;@@;@
"4810329000"@;@829 581@;@@;@@;@@;@@;@@;@829 581@;@@;@@;@0@;@@;@0,5
"7318169101"@;@111@;@@;@8 277@;@11 869@;@8 277@;@@;@8 388@;@3 592@;@111@;@0,3@;@33,3@;@9,77
"8451100000"@;@106 940@;@@;@438 464@;@438 464@;@438 464@;@@;@545 404@;@0@;@0@;@0,7@;@0@;@0,24
"4804199000"@;@249 219@;@@;@5 904@;@5 904@;@5 904@;@@;@255 123@;@0@;@0@;@0,3@;@0@;@0,55
"8535309003"@;@@;@@;@3 318@;@3 318@;@3 318@;@@;@3 318@;@0@;@@;@0,7@;@@;@
"7307291000"@;@1 940 048@;@38 119@;@42 398@;@63 597@;@46 551@;@13 489@;@1 930 838@;@21 199@;@21 199@;@1@;@21 199@;@0,71
"2517300000"@;@@;@@;@146 199 213@;@156 807 568@;@139 348 793@;@11 384 506@;@139 348 793@;@10 608 355@;@@;@0,3@;@@;@
"8474320000"@;@10 337 841@;@@;@@;@@;@@;@@;@10 337 841@;@@;@@;@0@;@@;@0,5
"6406101000"@;@3 850@;@547 767@;@2 069 853@;@2 326 610@;@1 895 643@;@199 545@;@1 874 158@;@256 757@;@3 850@;@0,6@;@2 310@;@20,13
"8433591101"@;@596 488@;@10 000@;@@;@@;@@;@@;@596 488@;@@;@@;@0,3@;@@;@0,56
"7222201109"@;@69 700@;@@;@790@;@2 765@;@790@;@@;@70 490@;@1 975@;@1 975@;@0,3@;@592,5@;@0,56
"8405100000"@;@8 036 019@;@235 400@;@276 625@;@276 625@;@276 625@;@@;@8 077 244@;@0@;@0@;@1@;@0@;@0,7
"8708919909"@;@623 566@;@11 224@;@1 113 999@;@1 140 895@;@1 113 999@;@8 430@;@1 729 135@;@26 896@;@26 896@;@0,6@;@16 137,6@;@0,31
"9405102809"@;@@;@@;@25 041@;@25 041@;@18 666@;@25 319@;@18 666@;@0@;@@;@0,3@;@@;@
"8446100000"@;@159 992@;@327@;@74 800@;@74 800@;@74 800@;@@;@234 465@;@0@;@0@;@0,6@;@0@;@0,46
"5512910000"@;@1 143 494@;@@;@@;@@;@@;@@;@1 143 494@;@@;@@;@0@;@@;@0,5
