"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"market_by_tnved"@;@"fm"@;@"pl_2"@;@"coef_gotovnosti"@;@"pl_3"@;@"ilp"
"8452109000"@;@5 437@;@@;@901 667@;@902 412@;@901 464@;@12 125@;@894 979@;@745@;@745@;@0,3@;@223,5@;@0,1
"6204291100"@;@@;@39 130@;@122 239@;@216 076@;@114 696@;@8 276@;@113 963@;@93 837@;@@;@0,6@;@@;@
"8425110000"@;@3 207 373@;@97 801@;@187 727@;@187 727@;@187 407@;@@;@3 297 299@;@0@;@0@;@1@;@0@;@0,69
"5801360000"@;@870 699@;@@;@2 793@;@2 793@;@2 793@;@@;@873 492@;@0@;@0@;@0,3@;@0@;@0,56
"3809930000"@;@1 457 811@;@150 438@;@@;@@;@@;@@;@1 457 811@;@@;@@;@0,3@;@@;@0,56
"8504403008"@;@33 644 501@;@11 830@;@@;@@;@@;@@;@33 644 501@;@@;@@;@0,3@;@@;@0,56
"9004109900"@;@116 467@;@4 376@;@24 191@;@32 255@;@24 191@;@@;@136 282@;@8 064@;@8 064@;@0,6@;@4 838,4@;@0,57
"8544499500"@;@@;@@;@51 456 265@;@57 012 611@;@50 423 434@;@8 988 674@;@50 423 434@;@5 556 346@;@@;@0,3@;@@;@
"8480710000"@;@35 261 959@;@353 784@;@108 976@;@248 775@;@108 976@;@2 535@;@35 014 616@;@139 799@;@139 799@;@0,6@;@83 879,4@;@0,62
"5007903000"@;@787@;@@;@7 726@;@7 726@;@7 726@;@@;@8 513@;@0@;@0@;@0,3@;@0@;@0,11
"7220908009"@;@290 782@;@@;@@;@@;@@;@@;@290 782@;@@;@@;@0@;@@;@0,5
"3002590000"@;@10 497@;@@;@@;@@;@@;@@;@10 497@;@@;@@;@0@;@@;@0,5
"8477300000"@;@19 404 822@;@2 413 706@;@@;@@;@@;@@;@19 404 822@;@@;@@;@0,3@;@@;@0,56
"7326904000"@;@911 137@;@13 421@;@2 282 000@;@2 297 158@;@2 251 426@;@34 101@;@3 159 036@;@15 158@;@15 158@;@1@;@15 158@;@0,35
"4703290009"@;@19 166 603@;@35 048@;@@;@@;@@;@@;@19 166 603@;@@;@@;@0,3@;@@;@0,56
"8704319200"@;@35 125 847@;@174 197@;@13 426 456@;@14 313 654@;@8 576 899@;@4 918 845@;@43 459 261@;@887 198@;@887 198@;@1@;@887 198@;@0,61
"6904100000"@;@1 782 623@;@8 868 030@;@77 695 556@;@85 991 354@;@60 074 860@;@23 341 627@;@56 136 552@;@8 295 798@;@1 782 623@;@1@;@1 782 623@;@1,61
"6214300000"@;@133 824@;@287 064@;@1 185@;@1 185@;@55@;@2 837@;@132 172@;@0@;@0@;@1@;@0@;@0,71
"5911321900"@;@124 708@;@@;@3 541@;@3 541@;@3 541@;@@;@128 249@;@0@;@0@;@0,3@;@0@;@0,55
"8419200000"@;@7 376 816@;@@;@511 593@;@526 346@;@385 141@;@130 680@;@7 757 729@;@14 753@;@14 753@;@0,7@;@10 327,1@;@0,62
"8525819100"@;@80 619@;@2 583@;@@;@@;@@;@@;@80 619@;@@;@@;@0,3@;@@;@0,56
"2933370000"@;@10 543@;@@;@@;@@;@@;@@;@10 543@;@@;@@;@0@;@@;@0,5
"0307299009"@;@1@;@@;@@;@@;@@;@@;@1@;@@;@@;@0@;@@;@0,5
"4816900000"@;@84 497@;@10@;@55 047@;@@;@55 047@;@@;@139 534@;@@;@@;@0,6@;@@;@0,42
"2005800000"@;@5 144 106@;@7 539 323@;@10 889 430@;@11 892 808@;@8 446 704@;@2 460 455@;@13 573 081@;@1 003 378@;@1 003 378@;@0,6@;@602 026,8@;@0,37
"9613800000"@;@675 858@;@1 247@;@@;@@;@@;@@;@675 858@;@@;@@;@0,3@;@@;@0,56
"2202909500"@;@@;@@;@14 297@;@14 297@;@14 297@;@@;@14 297@;@0@;@@;@0,3@;@@;@
"0305420000"@;@50 195@;@@;@@;@@;@@;@@;@50 195@;@@;@@;@0@;@@;@0,5
"8703221097"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"3102500000"@;@10 836@;@1 299 566@;@2 619 466@;@2 619 466@;@2 650 709@;@227 397@;@2 402 905@;@0@;@0@;@1@;@0@;@0,2
"2008199201"@;@83 412@;@12 535@;@@;@@;@@;@@;@83 412@;@@;@@;@0,3@;@@;@0,56
"7210128000"@;@@;@@;@453 580@;@453 580@;@453 580@;@@;@453 580@;@0@;@@;@0,3@;@@;@
"7217101000"@;@132 604@;@@;@9 275 404@;@9 338 872@;@7 666 487@;@1 909 958@;@7 498 050@;@63 468@;@63 468@;@0,3@;@19 040,4@;@0,21
"9021500000"@;@868 302@;@@;@@;@@;@@;@@;@868 302@;@@;@@;@0@;@@;@0,5
"8421398002"@;@548 593@;@@;@67 287@;@67 998@;@67 287@;@@;@615 880@;@711@;@711@;@0,3@;@213,3@;@0,51
"8526100009"@;@4 715 206@;@415 324@;@1 597 049@;@3 194 098@;@1 455 992@;@502 527@;@5 394 404@;@1 597 049@;@1 597 049@;@0,6@;@958 229,4@;@0,66
"8537101000"@;@6 455 823@;@16 792@;@9 843 170@;@10 936 007@;@9 882 694@;@389 907@;@15 909 086@;@1 092 837@;@1 092 837@;@1@;@1 092 837@;@0,45
"7306304100"@;@314 866@;@@;@@;@@;@@;@@;@314 866@;@@;@@;@0@;@@;@0,5
"9014202000"@;@22 611@;@4 245@;@@;@@;@@;@@;@22 611@;@@;@@;@0,3@;@@;@0,56
"6211431000"@;@105 778@;@99 097@;@2 305 362@;@@;@2 305 362@;@@;@2 411 140@;@@;@@;@1@;@@;@0,22
"8802120001"@;@24 595 975@;@@;@@;@@;@@;@@;@24 595 975@;@@;@@;@0@;@@;@0,5
"2908190000"@;@21 311@;@@;@@;@@;@@;@@;@21 311@;@@;@@;@0@;@@;@0,5
"4102101000"@;@@;@@;@4 417 450@;@4 662 798@;@1 257 393@;@790 014@;@1 257 393@;@245 348@;@@;@0,3@;@@;@
"303311000"@;@@;@@;@163 251@;@163 251@;@163 251@;@@;@163 251@;@0@;@@;@0,3@;@@;@
"8419500000"@;@13 519 082@;@1 572 983@;@18 684 702@;@20 067 123@;@16 395 992@;@2 327 268@;@29 876 516@;@1 382 421@;@1 382 421@;@1@;@1 382 421@;@0,46
"6204631800"@;@1 121 904@;@358 145@;@206@;@206@;@209@;@62@;@763 903@;@0@;@0@;@0,6@;@0@;@0,85
"8407219900"@;@256 042@;@@;@@;@@;@@;@@;@256 042@;@@;@@;@0@;@@;@0,5
"2009611003"@;@3 100@;@@;@@;@@;@@;@@;@3 100@;@@;@@;@0@;@@;@0,5
"5512299000"@;@15 147@;@@;@@;@@;@@;@@;@15 147@;@@;@@;@0@;@@;@0,5
"8528728000"@;@336 338@;@@;@5 663 068@;@5 663 068@;@5 447 005@;@277 113@;@5 722 293@;@0@;@0@;@0,3@;@0@;@0,09
"7019120000"@;@1 693 829@;@@;@@;@@;@@;@@;@1 693 829@;@@;@@;@0@;@@;@0,5
"8515399000"@;@1 157 551@;@8 011@;@5 301@;@5 301@;@4 090@;@1 212@;@1 153 629@;@0@;@0@;@0,6@;@0@;@0,62
"6104310000"@;@18 976@;@7 345@;@417 167@;@417 167@;@417 167@;@@;@436 143@;@0@;@0@;@0,6@;@0@;@0,14
"6403511500"@;@26 286@;@@;@1 795 164@;@1 971 934@;@1 819 543@;@110 819@;@1 710 631@;@176 770@;@26 286@;@0,3@;@7 885,8@;@2,09
"4823908593"@;@1 099@;@15@;@790@;@@;@790@;@@;@1 874@;@@;@@;@0,6@;@@;@0,41
"8433539000"@;@22 643@;@@;@@;@@;@@;@@;@22 643@;@@;@@;@0@;@@;@0,5
"8462110000"@;@32 057 021@;@@;@241 609@;@241 609@;@241 609@;@@;@32 298 630@;@0@;@0@;@0,3@;@0@;@0,56
"2939790000"@;@59 767@;@@;@@;@@;@@;@@;@59 767@;@@;@@;@0@;@@;@0,5
"3920491009"@;@4 895 427@;@40 740@;@690 926@;@690 926@;@692 438@;@1 309@;@5 544 304@;@0@;@0@;@0,6@;@0@;@0,56
"8417209000"@;@1 725 156@;@1 196@;@77 074@;@77 074@;@77 074@;@@;@1 801 034@;@0@;@0@;@0,6@;@0@;@0,6
"7321111000"@;@2 000 625@;@4 707 582@;@22 140 643@;@22 825 060@;@20 990 762@;@2 616 064@;@21 525 204@;@684 417@;@684 417@;@1@;@684 417@;@0,35
"5209410000"@;@14 345@;@@;@@;@@;@@;@@;@14 345@;@@;@@;@0,4@;@@;@0,58
"2710194230"@;@@;@@;@219 615 200@;@219 615 200@;@222 479 850@;@1 236 757@;@222 479 850@;@0@;@@;@0,3@;@@;@
"8711900000"@;@540@;@@;@2 018 134@;@2 328 616@;@1 476 038@;@1 022 558@;@996 116@;@310 482@;@540@;@0,3@;@162@;@100
"2204218900"@;@@;@@;@1 432 849@;@2 675 761@;@1 418 584@;@216 979@;@1 418 584@;@1 242 912@;@@;@0,3@;@@;@
"8474390009"@;@7 651 819@;@84 830@;@94 747@;@94 747@;@94 747@;@@;@7 661 736@;@0@;@0@;@0,6@;@0@;@0,62
"8523493900"@;@25@;@@;@@;@@;@@;@@;@25@;@@;@@;@0@;@@;@0,5
"1104222000"@;@@;@@;@8 815 899@;@9 077 552@;@5 592 673@;@3 397 029@;@5 592 673@;@261 653@;@@;@0,3@;@@;@
"2007101010"@;@37 694@;@@;@11 335@;@11 335@;@11 335@;@@;@49 029@;@0@;@0@;@0,3@;@0@;@0,44
"6403919600"@;@15 230@;@378 628@;@1 108 722@;@1 135 827@;@1 038 093@;@117 522@;@1 006 430@;@27 105@;@15 230@;@1@;@15 230@;@0,74
"7207203200"@;@6 554@;@@;@@;@@;@@;@@;@6 554@;@@;@@;@0@;@@;@0,5
"7318290009"@;@@;@@;@134 651@;@139 252@;@134 098@;@119 067@;@134 098@;@4 601@;@@;@0,3@;@@;@
"8531902000"@;@@;@@;@1 133 969@;@1 133 969@;@1 131 020@;@2 948@;@1 131 020@;@0@;@@;@0,3@;@@;@
"7013499100"@;@5 270@;@227@;@33 749@;@38 941@;@14 213@;@19 536@;@19 483@;@5 192@;@5 192@;@0,6@;@3 115,2@;@0,55
"5514191000"@;@2 568@;@@;@@;@@;@@;@@;@2 568@;@@;@@;@0@;@@;@0,5
"7307931900"@;@1 633 428@;@@;@2 123 980@;@2 141 035@;@1 864 590@;@134 736@;@3 622 672@;@17 055@;@17 055@;@0,7@;@11 938,5@;@0,37
"3605000000"@;@752 455@;@241 214@;@3 827 070@;@4 405 405@;@3 733 177@;@256 507@;@4 323 018@;@578 335@;@578 335@;@0,6@;@347 001@;@0,44
"2001909700"@;@@;@@;@789 612@;@797 314@;@443 023@;@417 177@;@443 023@;@7 702@;@@;@0,3@;@@;@
"8422200009"@;@3 366 081@;@330@;@@;@@;@@;@@;@3 366 081@;@@;@@;@0,3@;@@;@0,56
"8460298000"@;@3 784 715@;@5 000@;@@;@@;@@;@@;@3 784 715@;@@;@@;@0,3@;@@;@0,56
"4407129200"@;@46 840 167@;@@;@@;@@;@@;@@;@46 840 167@;@@;@@;@0@;@@;@0,5
"0403909300"@;@1 026 222@;@@;@@;@@;@@;@@;@1 026 222@;@@;@@;@0,4@;@@;@0,58
"2008111000"@;@125 425@;@2 500@;@6 321 610@;@6 321 610@;@3 839 558@;@914 407@;@5 532 628@;@0@;@0@;@0,6@;@0@;@0,13
"5205270002"@;@23 093@;@@;@@;@@;@@;@@;@23 093@;@@;@@;@0@;@@;@0,5
"8504210000"@;@11 788 954@;@840 571@;@17 297 492@;@22 075 971@;@14 656 218@;@4 935 787@;@24 150 659@;@4 778 479@;@4 778 479@;@1@;@4 778 479@;@0,57
"7019900095"@;@61 573@;@@;@@;@@;@@;@@;@61 573@;@@;@@;@0@;@@;@0,5
"2919900000"@;@561 605@;@385@;@35 824@;@35 824@;@28 660@;@7 165@;@589 879@;@0@;@0@;@0,6@;@0@;@0,6
"8504909100"@;@@;@@;@10 586@;@10 586@;@10 586@;@@;@10 586@;@0@;@@;@0,3@;@@;@
"9405420019"@;@1 120 686@;@3 413@;@2 272@;@2 272@;@2 272@;@@;@1 119 545@;@0@;@0@;@1@;@0@;@0,7
"8462900014"@;@1 951@;@@;@@;@@;@@;@@;@1 951@;@@;@@;@0@;@@;@0,5
"4403242000"@;@105 331@;@@;@@;@@;@@;@@;@105 331@;@@;@@;@0@;@@;@0,5
"8505191000"@;@128 412@;@@;@@;@@;@@;@@;@128 412@;@@;@@;@0@;@@;@0,5
"5206210006"@;@1 074@;@@;@@;@@;@@;@@;@1 074@;@@;@@;@0@;@@;@0,5
"8420990000"@;@40 323@;@9 549@;@@;@@;@@;@@;@40 323@;@@;@@;@0,3@;@@;@0,56
"4015900000"@;@92 830@;@@;@30 076@;@30 076@;@30 076@;@@;@122 906@;@0@;@0@;@0,3@;@0@;@0,44
"2009499901"@;@806 861@;@@;@@;@@;@@;@@;@806 861@;@@;@@;@0@;@@;@0,5
"1509200000"@;@1 892 276@;@54 728@;@@;@@;@@;@@;@1 892 276@;@@;@@;@0,3@;@@;@0,56
"8414108909"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"5402320000"@;@1 380 887@;@@;@@;@@;@@;@@;@1 380 887@;@@;@@;@0@;@@;@0,5
"3824995500"@;@7 677 537@;@8 046@;@348 853@;@348 853@;@348 853@;@@;@8 018 344@;@0@;@0@;@0,6@;@0@;@0,6
"8527911900"@;@124 265@;@@;@@;@@;@@;@@;@124 265@;@@;@@;@0@;@@;@0,5
"5108209000"@;@1 711 668@;@@;@@;@@;@@;@@;@1 711 668@;@@;@@;@0@;@@;@0,5
"6208290000"@;@14 460@;@2 777@;@13 332@;@13 332@;@13 332@;@@;@27 792@;@0@;@0@;@1@;@0@;@0,46
"8514199000"@;@7 080 236@;@15 099@;@@;@@;@@;@@;@7 080 236@;@@;@@;@0,3@;@@;@0,56
"2401209500"@;@7 940@;@@;@@;@@;@@;@@;@7 940@;@@;@@;@0@;@@;@0,5
"6201900000"@;@498 220@;@623 047@;@100 191@;@163 018@;@103 771@;@5 391@;@593 020@;@62 827@;@62 827@;@1@;@62 827@;@0,66
"1521909900"@;@132 271@;@@;@@;@@;@@;@@;@132 271@;@@;@@;@0@;@@;@0,5
"8429110010"@;@40 187 888@;@@;@10 548 745@;@10 548 745@;@7 371 496@;@3 177 249@;@47 559 384@;@0@;@0@;@0,3@;@0@;@0,48
"3921904900"@;@2 226 109@;@2 082 512@;@@;@@;@@;@@;@2 226 109@;@@;@@;@0,3@;@@;@0,56
"7019400000"@;@@;@@;@534 545@;@566 639@;@534 976@;@36 383@;@534 976@;@32 094@;@@;@0,3@;@@;@
"2912410000"@;@363 764@;@3 126@;@@;@@;@@;@@;@363 764@;@@;@@;@0,3@;@@;@0,56
"5210190000"@;@1 155@;@@;@105 125@;@105 978@;@105 125@;@@;@106 280@;@853@;@853@;@0,3@;@255,9@;@0,29
"8508110000"@;@5 475 887@;@124 822@;@1 156 614@;@1 165 923@;@1 045 828@;@111 019@;@6 396 660@;@9 309@;@9 309@;@0,6@;@5 585,4@;@0,55
"7002209000"@;@1 112@;@@;@@;@@;@@;@@;@1 112@;@@;@@;@0@;@@;@0,5
"1704908100"@;@@;@@;@14 100 408@;@17 606 410@;@9 203 329@;@4 993 293@;@9 203 329@;@3 506 002@;@@;@0,3@;@@;@
"0706909009"@;@@;@4 633 567@;@@;@@;@@;@@;@0@;@@;@@;@0,3@;@@;@
"8544499100"@;@@;@@;@149 721@;@6 579 307@;@134 461@;@15 260@;@134 461@;@6 429 586@;@@;@0,3@;@@;@
"4407299501"@;@28 886@;@@;@@;@@;@@;@@;@28 886@;@@;@@;@0@;@@;@0,5
"9303201000"@;@25 733@;@@;@@;@@;@@;@@;@25 733@;@@;@@;@0@;@@;@0,5
"3923900000"@;@6 581 591@;@281 518@;@68 376 600@;@76 233 024@;@68 194 463@;@940 317@;@74 017 874@;@7 856 424@;@6 581 591@;@1@;@6 581 591@;@0,6
"6907219001"@;@54 626@;@@;@@;@@;@@;@@;@54 626@;@@;@@;@0@;@@;@0,5
"6115210000"@;@210 555@;@40@;@2 276 072@;@2 356 997@;@1 558 508@;@731 384@;@1 755 243@;@80 925@;@80 925@;@0,6@;@48 555@;@0,3
"0401501100"@;@543 471@;@@;@@;@@;@@;@@;@543 471@;@@;@@;@0,4@;@@;@0,58
"8518210000"@;@2 118 207@;@1 367@;@@;@@;@@;@@;@2 118 207@;@@;@@;@0,3@;@@;@0,56
"5603111000"@;@1 244 989@;@@;@226 717@;@273 808@;@224 357@;@2 360@;@1 469 346@;@47 091@;@47 091@;@0,3@;@14 127,3@;@0,5
"2004109900"@;@3 309 206@;@@;@@;@@;@@;@@;@3 309 206@;@@;@@;@0@;@@;@0,5
"2208907709"@;@@;@@;@31 675@;@31 675@;@@;@31 675@;@0@;@0@;@@;@0,3@;@@;@
"7216990000"@;@2 989 244@;@4 971 994@;@22 370 891@;@22 451 110@;@21 101 651@;@1 254 520@;@24 105 615@;@80 219@;@80 219@;@1@;@80 219@;@0,27
"3918109000"@;@2 660 345@;@5 228 463@;@17 406 265@;@23 977 919@;@15 757 443@;@1 726 765@;@18 339 845@;@6 571 654@;@2 660 345@;@1@;@2 660 345@;@1,01
"8462250000"@;@559 187@;@@;@@;@@;@@;@@;@559 187@;@@;@@;@0@;@@;@0,5
"4814907009"@;@66 101@;@11 313@;@@;@@;@@;@@;@66 101@;@@;@@;@0,3@;@@;@0,56
"7019630000"@;@174 453@;@@;@6 162@;@6 162@;@6 162@;@@;@180 615@;@0@;@0@;@0,3@;@0@;@0,54
"5006001000"@;@@;@@;@14 877@;@20 663@;@14 877@;@827@;@14 877@;@5 786@;@@;@0,3@;@@;@
"0303830000"@;@38 615@;@@;@@;@@;@@;@@;@38 615@;@@;@@;@0@;@@;@0,5
"5904100000"@;@1 814 817@;@1 083 135@;@12 411 181@;@14 320 997@;@12 464 975@;@81 285@;@14 144 713@;@1 909 816@;@1 814 817@;@1@;@1 814 817@;@0,58
"4413000000"@;@297 986@;@@;@606 251@;@608 266@;@606 251@;@@;@904 237@;@2 015@;@2 015@;@0,3@;@604,5@;@0,23
"7312106500"@;@59 702@;@5 880@;@1 975@;@1 975@;@1 975@;@@;@55 797@;@0@;@0@;@0,6@;@0@;@0,65
"8528429009"@;@3 750@;@@;@@;@@;@@;@@;@3 750@;@@;@@;@0@;@@;@0,5
"0403201300"@;@137 824@;@35@;@@;@@;@@;@@;@137 824@;@@;@@;@0,3@;@@;@0,56
"8708959109"@;@1 181@;@@;@@;@@;@@;@@;@1 181@;@@;@@;@0@;@@;@0,5
"7318110000"@;@45 297@;@23@;@1 608 470@;@2 640 130@;@1 527 857@;@485 406@;@1 168 361@;@1 031 660@;@45 297@;@1@;@45 297@;@7,05
"9503003000"@;@103 388@;@306@;@13 064@;@13 786@;@13 064@;@@;@116 146@;@722@;@722@;@0,6@;@433,2@;@0,57
"3921120000"@;@1 229 866@;@13 018@;@16 080 006@;@16 901 418@;@15 646 640@;@2 030 511@;@15 279 361@;@821 412@;@821 412@;@0,6@;@492 847,2@;@0,36
"6303120000"@;@75 178@;@36 509@;@1 870 966@;@2 391 141@;@1 907 313@;@65 089@;@1 881 055@;@520 175@;@75 178@;@1@;@75 178@;@2,3
"2204214800"@;@9 587@;@@;@@;@@;@@;@@;@9 587@;@@;@@;@0@;@@;@0,5
"8523529001"@;@361 037@;@@;@204 551@;@223 147@;@204 551@;@@;@565 588@;@18 596@;@18 596@;@0,3@;@5 578,8@;@0,39
"8421210009"@;@52 619 343@;@1 191 193@;@9 244 480@;@9 550 352@;@10 025 164@;@151 384@;@60 521 246@;@305 872@;@305 872@;@1@;@305 872@;@0,64
"8525801900"@;@@;@@;@512@;@512@;@512@;@@;@512@;@0@;@@;@0,3@;@@;@
"8714999000"@;@2 652 860@;@19 618@;@@;@@;@@;@@;@2 652 860@;@@;@@;@0,3@;@@;@0,56
"2804700020"@;@136 928@;@@;@@;@@;@@;@@;@136 928@;@@;@@;@0@;@@;@0,5
"6204695000"@;@113 937@;@25 129@;@27 255@;@27 255@;@27 255@;@@;@116 063@;@0@;@0@;@1@;@0@;@0,69
"9619005909"@;@@;@@;@13 969 459@;@13 969 459@;@12 158 478@;@2 667 067@;@12 158 478@;@0@;@@;@0,3@;@@;@
"7507110000"@;@1 055@;@@;@573 181@;@608 688@;@573 181@;@@;@574 236@;@35 507@;@1 055@;@0,3@;@316,5@;@10,16
"4202221000"@;@5 164 362@;@839@;@@;@@;@@;@@;@5 164 362@;@@;@@;@0,3@;@@;@0,56
"9003190009"@;@164 913@;@@;@@;@@;@@;@@;@164 913@;@@;@@;@0@;@@;@0,5
"9619008901"@;@2 852 951@;@121 262@;@1 411 612@;@2 187 005@;@1 411 612@;@314 136@;@3 829 165@;@775 393@;@775 393@;@0,6@;@465 235,8@;@0,57
"8455900000"@;@1 348 335@;@400@;@23 365@;@23 890@;@23 365@;@1 746@;@1 369 554@;@525@;@525@;@1@;@525@;@0,69
"9405403101"@;@@;@@;@185 489@;@202 079@;@185 489@;@60 042@;@185 489@;@16 590@;@@;@0,3@;@@;@
"7222208900"@;@57@;@@;@790@;@2 765@;@790@;@@;@847@;@1 975@;@57@;@0,3@;@17,1@;@10,49
"9401790000"@;@@;@@;@52 466@;@69 610@;@46 991@;@5 475@;@46 991@;@17 144@;@@;@0,3@;@@;@
"3920992800"@;@50 150@;@@;@15 073@;@37 683@;@18 305@;@3 051@;@62 172@;@22 610@;@22 610@;@0,3@;@6 783@;@0,6
"3926909703"@;@394 445@;@@;@87 115@;@92 550@;@87 115@;@@;@481 560@;@5 435@;@5 435@;@0,3@;@1 630,5@;@0,47
"8701219012"@;@60 271 704@;@@;@@;@@;@@;@@;@60 271 704@;@@;@@;@0@;@@;@0,5
"2805308000"@;@4 897@;@@;@@;@@;@@;@@;@4 897@;@@;@@;@0@;@@;@0,5
"3215190000"@;@16 836 847@;@3 434 576@;@503 559@;@574 199@;@500 065@;@3 494@;@13 902 336@;@70 640@;@70 640@;@0,6@;@42 384@;@0,73
"9608300000"@;@19 466@;@@;@@;@@;@@;@@;@19 466@;@@;@@;@0@;@@;@0,5
"2008977200"@;@74 091@;@85@;@@;@@;@@;@@;@74 091@;@@;@@;@0,3@;@@;@0,56
"8544190001"@;@393 987@;@1 324 798@;@6 142 755@;@6 758 131@;@5 747 748@;@45 119@;@6 491 623@;@615 376@;@393 987@;@1@;@393 987@;@0,7
"7307991000"@;@5 502 178@;@3 545@;@1 377 941@;@1 390 844@;@1 177 296@;@76 278@;@6 800 296@;@12 903@;@12 903@;@1@;@12 903@;@0,61
"8001200000"@;@326 561@;@@;@1 029 738@;@1 029 738@;@817 812@;@211 926@;@1 144 373@;@0@;@0@;@0,7@;@0@;@0,28
"8425190009"@;@430 304@;@5 178@;@1 142@;@1 142@;@1 142@;@@;@426 268@;@0@;@0@;@1@;@0@;@0,7
"3203009000"@;@102@;@@;@@;@@;@@;@@;@102@;@@;@@;@0@;@@;@0,5
"7010904700"@;@55 116@;@121 256@;@9 201 569@;@9 201 569@;@8 703 320@;@1 164 742@;@8 091 943@;@0@;@0@;@0,6@;@0@;@0,12
"2827392000"@;@157 239@;@7 268@;@197 353@;@197 353@;@143 127@;@54 227@;@300 365@;@0@;@0@;@1@;@0@;@0,46
"8536101000"@;@564 120@;@84@;@@;@@;@@;@@;@564 120@;@@;@@;@0,3@;@@;@0,56
"0602904100"@;@98 639@;@32 675@;@@;@@;@@;@@;@98 639@;@@;@@;@0,7@;@@;@0,64
"8443391009"@;@227@;@@;@@;@@;@@;@@;@227@;@@;@@;@0@;@@;@0,5
"8424100000"@;@3 530 350@;@627@;@483 080@;@492 381@;@474 523@;@8 558@;@4 004 245@;@9 301@;@9 301@;@1@;@9 301@;@0,64
"1702908000"@;@@;@@;@404 061@;@404 061@;@404 061@;@3 321@;@404 061@;@0@;@@;@0,3@;@@;@
"6304920000"@;@32 409@;@56 388@;@104 442@;@108 590@;@104 442@;@@;@136 851@;@4 148@;@4 148@;@1@;@4 148@;@0,36
"3003100000"@;@346 221@;@40@;@22 099 291@;@22 099 291@;@3 212 803@;@691 883@;@21 753 629@;@0@;@0@;@0,6@;@0@;@0,13
"0802129000"@;@1 599 825@;@4 179 148@;@@;@@;@@;@@;@1 599 825@;@@;@@;@0,3@;@@;@0,56
"9403105100"@;@1 307 070@;@50 950@;@3 686 192@;@5 803 559@;@3 372 980@;@137 557@;@4 855 705@;@2 117 367@;@1 307 070@;@1@;@1 307 070@;@0,82
"8508700002"@;@3 063 455@;@2 793@;@@;@@;@@;@@;@3 063 455@;@@;@@;@0,3@;@@;@0,56
"6813810000"@;@1 254 090@;@2 756@;@229 177@;@229 177@;@275 884@;@29 450@;@1 451 061@;@0@;@0@;@0,6@;@0@;@0,55
"0802210000"@;@1 479 163@;@759@;@@;@@;@@;@@;@1 479 163@;@@;@@;@0,3@;@@;@0,56
"7207119000"@;@@;@@;@4 964@;@6 205@;@4 964@;@@;@4 964@;@1 241@;@@;@0,3@;@@;@
"9018390000"@;@9 551 834@;@86 717@;@148 924@;@666 824@;@124 630@;@316 739@;@9 297 302@;@517 900@;@517 900@;@1@;@517 900@;@0,73
"1211200000"@;@5 212@;@@;@1 854 965@;@1 854 965@;@1 858 520@;@13 674@;@1 846 503@;@0@;@0@;@0,3@;@0@;@0,06
"7318141000"@;@@;@@;@24 125 332@;@27 643 432@;@23 557 368@;@2 087 193@;@23 557 368@;@3 518 100@;@@;@0,3@;@@;@
"6103490000"@;@@;@@;@215 669@;@215 669@;@215 669@;@@;@215 669@;@0@;@@;@0,3@;@@;@
"1103194000"@;@18 562@;@@;@@;@@;@@;@@;@18 562@;@@;@@;@0@;@@;@0,5
"2933119000"@;@1 194 312@;@@;@@;@@;@@;@@;@1 194 312@;@@;@@;@0@;@@;@0,5
"1515199000"@;@1 037@;@27 573@;@17 639@;@17 639@;@17 639@;@@;@18 676@;@0@;@0@;@0,6@;@0@;@0,15
"0207129000"@;@8 551 489@;@@;@@;@@;@@;@@;@8 551 489@;@@;@@;@0@;@@;@0,5
"8544421000"@;@2 236 727@;@3 498@;@3 854 174@;@4 407 208@;@3 814 841@;@39 334@;@6 051 567@;@553 034@;@553 034@;@0,6@;@331 820,4@;@0,38
"3923401001"@;@@;@@;@8 261 844@;@8 751 638@;@8 179 468@;@154 653@;@8 179 468@;@489 794@;@@;@0,3@;@@;@
"2309905900"@;@@;@@;@445 483@;@607 955@;@159 653@;@285 830@;@159 653@;@162 472@;@@;@0,3@;@@;@
"1905329100"@;@@;@119 424@;@122 324@;@122 324@;@122 324@;@@;@122 324@;@0@;@@;@0,6@;@@;@
"701905000"@;@@;@@;@528 671@;@528 671@;@528 671@;@@;@528 671@;@0@;@@;@0,3@;@@;@
"5001000000"@;@137 706@;@@;@@;@@;@@;@@;@137 706@;@@;@@;@0@;@@;@0,5
"9031100000"@;@803 921@;@@;@@;@@;@@;@@;@803 921@;@@;@@;@0@;@@;@0,5
"2008119800"@;@89 051@;@231 974@;@890 772@;@897 199@;@847 856@;@1 528@;@978 295@;@6 427@;@6 427@;@0,6@;@3 856,2@;@0,19
"8414600001"@;@2 403 183@;@691 651@;@1 783 790@;@2 487 590@;@1 905 233@;@631 234@;@3 555 739@;@703 800@;@703 800@;@1@;@703 800@;@0,63
"4202290000"@;@55 545@;@25 923@;@@;@@;@@;@@;@55 545@;@@;@@;@0,3@;@@;@0,56
"7104990009"@;@9 210@;@25 417@;@@;@@;@@;@@;@9 210@;@@;@@;@0,3@;@@;@0,56
