"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"certificates_count"@;@"avg_localization_rate"@;@"market"@;@"iz"@;@"rp"@;@"hhi"@;@"ci"@;@"manufacturers_count"@;@"pr"@;@"capacity_utilization"@;@"mp"@;@"st"@;@"iri"
"8509400000"@;@8 967 179@;@28 005@;@14 438@;@14 438@;@@;@14 438@;@@;@@;@8 939 174@;@99,84@;@99,84@;@3 182,2855@;@31,82@;@1@;@100@;@100@;@0@;@50@;@77,204
"8509800000"@;@2 908 130@;@9 269@;@2 311@;@2 311@;@1 178@;@1 133@;@@;@@;@2 900 039@;@99,92@;@99,92@;@1 575,3668@;@15,75@;@2@;@100@;@100@;@0@;@50@;@74,852
"8511400008"@;@2 100 179@;@34 775@;@14 984 918@;@17 463 339@;@15 163 557@;@111 517@;@@;@@;@16 973 580@;@12,29@;@11,72@;@2 649,1368@;@26,49@;@3@;@100@;@85,81@;@14,19@;@50@;@25,16
"8511500008"@;@5 456 024@;@46 738@;@169@;@169@;@56@;@112@;@@;@@;@5 409 343@;@100@;@100@;@5 373,0885@;@53,73@;@1@;@100@;@100@;@0@;@50@;@80,6
"8511900001"@;@541@;@@;@1 740 263@;@1 749 918@;@1 719 862@;@20 401@;@@;@@;@1 720 403@;@0,03@;@-1,15@;@5 072,2402@;@50,72@;@1@;@100@;@99,45@;@0,55@;@50@;@19,982
"8511900008"@;@@;@@;@130 356@;@130 356@;@130 356@;@@;@@;@@;@130 356@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"8511900009"@;@2 929 731@;@11 862@;@16 794@;@16 794@;@16 794@;@@;@5@;@39,15@;@2 934 663@;@99,43@;@99,43@;@5 306,3125@;@53,06@;@2@;@100@;@100@;@0@;@0@;@77,658
"8512100000"@;@196 196@;@@;@205 485@;@215 759@;@205 485@;@@;@@;@@;@401 681@;@48,84@;@48,84@;@9 720,9959@;@97,21@;@1@;@100@;@95,24@;@4,76@;@50@;@56,904
"8512200001"@;@23 532 173@;@1 101 522@;@41 107@;@41 107@;@41 107@;@@;@@;@@;@22 471 758@;@99,83@;@99,82@;@3 665,3927@;@36,65@;@1@;@100@;@100@;@0@;@50@;@77,896
"8512200009"@;@7 212 748@;@23 059 759@;@62 119 371@;@62 592 134@;@64 717 162@;@799 076@;@6@;@34,4@;@68 533 043@;@10,4@;@9,36@;@2 848,2156@;@28,48@;@2@;@100@;@99,24@;@0,76@;@0@;@20,432
"8512301001"@;@83 282@;@@;@126 424@;@172 240@;@126 424@;@@;@@;@@;@209 706@;@39,71@;@39,71@;@5 062,77@;@50,63@;@1@;@100@;@73,4@;@26,6@;@50@;@46,626
"8512301009"@;@1 377 082@;@38 645@;@545@;@545@;@545@;@@;@@;@@;@1 338 982@;@99,96@;@99,96@;@5 203,1795@;@52,03@;@1@;@100@;@100@;@0@;@50@;@80,276
"8512309009"@;@5 855 347@;@2 593@;@17 407@;@17 407@;@25 519@;@@;@@;@@;@5 870 161@;@99,7@;@99,7@;@7 809,8521@;@78,1@;@1@;@100@;@100@;@0@;@50@;@84,02
"8512400009"@;@93 820@;@979@;@1 208 183@;@1 211 242@;@1 170 880@;@20 275@;@@;@@;@1 281 728@;@7,21@;@5,74@;@3 217,691@;@32,18@;@3@;@100@;@99,75@;@0,25@;@50@;@21,332
