"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"certificates_count"@;@"avg_localization_rate"@;@"market"@;@"iz"@;@"rp"@;@"hhi"@;@"ci"@;@"manufacturers_count"@;@"pr"@;@"capacity_utilization"@;@"mp"@;@"st"@;@"iri"
"0"@;@@;@@;@5 334 114 163@;@890 584 574@;@5 251 564 288@;@91 810 011@;@@;@@;@5 251 564 288@;@@;@-1,57@;@@;@0@;@5 999@;@10@;@598,95@;@-498,95@;@50@;@-46,714
"1006201100"@;@@;@@;@7 238 826@;@8 763 260@;@6 833 861@;@867 984@;@1@;@100@;@6 833 861@;@@;@-5,93@;@@;@0@;@57@;@10@;@82,6@;@17,4@;@0@;@1,514
"1006201300"@;@6 556@;@6 702@;@675 895@;@679 588@;@619 934@;@86 325@;@@;@@;@596 126@;@0,96@;@-13,38@;@10 000@;@100@;@6@;@70@;@99,46@;@0,54@;@50@;@22,308
"1006201700"@;@@;@@;@33 219@;@33 219@;@33 219@;@@;@@;@@;@33 219@;@@;@0@;@@;@0@;@2@;@100@;@100@;@0@;@50@;@12,5
"1006209200"@;@55@;@@;@165 903@;@165 903@;@16 364@;@149 538@;@@;@@;@16 420@;@0,03@;@-910,37@;@10 000@;@100@;@2@;@100@;@100@;@0@;@50@;@-154,562
"1006209400"@;@470 992@;@@;@49 304@;@58 922@;@49 304@;@@;@@;@@;@520 296@;@90,52@;@90,52@;@6 715,3698@;@67,15@;@3@;@100@;@83,68@;@16,32@;@50@;@78,512
"1006209600"@;@1 713@;@@;@115 796@;@115 796@;@115 796@;@@;@@;@@;@117 509@;@1,46@;@1,46@;@8 849,1538@;@88,49@;@1@;@100@;@100@;@0@;@50@;@26,676
"1006209800"@;@@;@@;@21 314@;@21 314@;@21 314@;@@;@@;@@;@21 314@;@@;@0@;@@;@0@;@2@;@100@;@100@;@0@;@50@;@12,5
"1006302100"@;@796 973@;@@;@49 634@;@56 292@;@49 634@;@63@;@2@;@100@;@846 544@;@94,14@;@94,14@;@6 136,6912@;@61,37@;@7@;@70@;@88,17@;@11,83@;@0@;@73,884
"1006302300"@;@@;@@;@12 426@;@13 711@;@12 426@;@@;@@;@@;@12 426@;@@;@0@;@@;@0@;@2@;@100@;@90,63@;@9,37@;@50@;@13,4
"1006400000"@;@19 133@;@10 743@;@7 069@;@7 069@;@@;@7 069@;@1@;@100@;@8 390@;@73,02@;@15,74@;@10 000@;@100@;@1@;@100@;@100@;@0@;@0@;@57,356
"1101001100"@;@@;@@;@147 008 852@;@157 159 037@;@132 149 188@;@16 828 421@;@@;@@;@132 149 188@;@@;@-11,24@;@@;@0@;@62@;@10@;@93,54@;@6,46@;@50@;@1,852
"1101001101"@;@239 240@;@@;@685 960@;@685 960@;@685 960@;@@;@@;@@;@925 200@;@25,86@;@25,86@;@10 000@;@100@;@1@;@100@;@100@;@0@;@50@;@43,016
"1101001109"@;@817 479@;@@;@11 456 915@;@20 391 522@;@5 048 714@;@6 408 202@;@@;@@;@5 866 192@;@6,66@;@-95,3@;@7 187,0438@;@71,87@;@6@;@70@;@56,18@;@43,82@;@50@;@8,304
"1101001500"@;@@;@@;@744 016 238@;@1 122 787 817@;@632 180 297@;@139 460 840@;@@;@@;@632 180 297@;@@;@-17,69@;@@;@0@;@176@;@10@;@66,27@;@33,73@;@50@;@3,362
"1101001501"@;@121 816 854@;@17 078 159@;@6 665 579@;@17 722 344@;@4 359 931@;@1 390 272@;@@;@@;@110 014 002@;@94,81@;@93,94@;@9 870,6596@;@98,71@;@4@;@70@;@37,61@;@62,39@;@50@;@87,212
"1101001509"@;@29 412 303@;@311 452 005@;@9 075 380@;@11 982 475@;@9 028 877@;@432 995@;@5@;@93,79@;@38 054 688@;@76,42@;@76,15@;@4 714,2889@;@47,14@;@8@;@70@;@75,74@;@24,26@;@0@;@62,298
"1101009000"@;@38 510@;@@;@27 797 201@;@27 803 394@;@23 831 806@;@4 146 298@;@@;@@;@23 689 413@;@0,14@;@-17,34@;@7 078,8352@;@70,79@;@10@;@70@;@99,98@;@0,02@;@50@;@16,688
"1102201000"@;@4 903@;@@;@12 537@;@13 679@;@12 537@;@@;@@;@@;@17 440@;@28,11@;@28,11@;@10 000@;@100@;@2@;@100@;@91,65@;@8,35@;@50@;@45,166
"1102209000"@;@19 526@;@@;@15 205@;@29 284@;@15 205@;@@;@@;@@;@34 731@;@56,22@;@56,22@;@6 296,5086@;@62,97@;@1@;@100@;@51,92@;@48,08@;@50@;@60,432
"1102901000"@;@@;@@;@1 294 077@;@1 294 077@;@1 294 077@;@107 659@;@@;@@;@1 294 077@;@@;@0@;@@;@0@;@4@;@70@;@100@;@0@;@50@;@9,5
"1102905000"@;@48 841@;@@;@15 587@;@23 839@;@15 587@;@@;@@;@@;@64 428@;@75,81@;@75,81@;@9 261,4425@;@92,61@;@1@;@100@;@65,38@;@34,62@;@50@;@75,386
"1103111000"@;@903 773@;@35@;@2 807 139@;@2 807 936@;@2 730 324@;@76 816@;@@;@@;@3 634 096@;@24,35@;@22,76@;@9 848,8953@;@98,49@;@9@;@70@;@99,97@;@0,03@;@50@;@38,592
"1103119000"@;@1 268 225@;@1 095@;@185 473@;@185 473@;@185 473@;@@;@@;@@;@1 452 603@;@87,24@;@87,23@;@9 264,8078@;@92,65@;@5@;@70@;@100@;@0@;@50@;@75,742
"1103139000"@;@8 558@;@@;@16 653@;@24 174@;@16 653@;@@;@@;@@;@25 211@;@33,95@;@33,95@;@9 821,62@;@98,22@;@1@;@100@;@68,89@;@31,11@;@50@;@50,67
"1103191000"@;@@;@@;@9 003@;@9 003@;@9 003@;@@;@@;@@;@9 003@;@@;@0@;@@;@0@;@3@;@100@;@100@;@0@;@50@;@12,5
"1103192000"@;@283 979@;@@;@116 186@;@116 186@;@116 186@;@@;@@;@@;@400 165@;@70,97@;@70,97@;@5 496,7552@;@54,97@;@1@;@100@;@100@;@0@;@50@;@63,282
"1103195000"@;@@;@@;@6 383@;@6 383@;@6 383@;@@;@@;@@;@6 383@;@@;@0@;@@;@0@;@2@;@100@;@100@;@0@;@50@;@12,5
"1103199001"@;@@;@@;@634 052@;@636 790@;@634 052@;@@;@@;@@;@634 052@;@@;@0@;@@;@0@;@2@;@100@;@99,57@;@0,43@;@50@;@12,5
"1103209000"@;@@;@@;@24 667@;@24 907@;@13 156@;@11 429@;@@;@@;@13 156@;@@;@-87,5@;@@;@0@;@2@;@100@;@99,04@;@0,96@;@50@;@-4,9
"1104196100"@;@@;@@;@876 687@;@876 687@;@876 687@;@@;@@;@@;@876 687@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"1104222000"@;@@;@@;@8 815 899@;@9 077 552@;@5 592 673@;@3 397 029@;@@;@@;@5 592 673@;@@;@-57,63@;@@;@0@;@4@;@70@;@97,12@;@2,88@;@50@;@-1,726
"1104223000"@;@@;@@;@2 107 437@;@2 207 425@;@2 259 912@;@152 475@;@@;@@;@2 259 912@;@@;@6,75@;@@;@0@;@2@;@100@;@95,47@;@4,53@;@50@;@14,35
"1104224000"@;@1 946@;@@;@14 882@;@14 882@;@27 378@;@1 479@;@@;@@;@15 349@;@11,56@;@3,04@;@10 000@;@100@;@1@;@100@;@100@;@0@;@50@;@32,732
"1104229500"@;@9 246@;@@;@30 225@;@30 225@;@30 225@;@@;@@;@@;@39 471@;@23,42@;@23,42@;@10 000@;@100@;@1@;@100@;@100@;@0@;@50@;@41,552
"1104298500"@;@@;@@;@5 664@;@5 664@;@5 664@;@@;@@;@@;@5 664@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"1104309000"@;@@;@@;@485 859@;@485 859@;@485 859@;@66 361@;@@;@@;@485 859@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"1105200000"@;@2 226 827@;@6 069@;@1 000 312@;@1 000 312@;@816 547@;@1 027 303@;@@;@@;@2 193 767@;@69@;@54,4@;@6 276,1352@;@62,76@;@2@;@100@;@100@;@0@;@50@;@60,38
"1106100000"@;@5 337@;@90 819@;@1 373 945@;@1 373 945@;@1 373 945@;@122 698@;@@;@@;@1 256 584@;@0,39@;@-9,34@;@10 000@;@100@;@6@;@70@;@100@;@0@;@50@;@22,788
"1106309000"@;@15 446@;@1 433@;@369 238@;@369 238@;@369 238@;@@;@@;@@;@384 684@;@4,02@;@4,02@;@3 368,078@;@33,68@;@1@;@100@;@100@;@0@;@50@;@20,012
"1107101100"@;@@;@@;@32 764@;@32 764@;@32 764@;@@;@@;@@;@32 764@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"1107101900"@;@10 927@;@@;@323 906@;@323 906@;@323 906@;@@;@@;@@;@334 833@;@3,26@;@3,26@;@3 761,6338@;@37,62@;@1@;@100@;@100@;@0@;@50@;@20,056
"1108120000"@;@8 639 098@;@129 129@;@1 169 277@;@1 169 277@;@1 197 151@;@97 615@;@@;@@;@9 581 631@;@88,08@;@87,8@;@4 076,0672@;@40,76@;@5@;@70@;@100@;@0@;@50@;@68,392
"1108130000"@;@3 522 048@;@563 126@;@11 538@;@17 307@;@11 538@;@@;@@;@@;@2 970 460@;@99,67@;@99,61@;@4 969,4901@;@49,69@;@1@;@100@;@66,67@;@33,33@;@50@;@83,09
"1108140000"@;@610@;@@;@1 410 602@;@1 410 602@;@186 902@;@1 223 700@;@@;@@;@187 512@;@0,04@;@-652,27@;@10 000@;@100@;@1@;@100@;@100@;@0@;@50@;@-102,938
"1108191000"@;@@;@@;@180 099@;@180 099@;@180 099@;@@;@1@;@38,69@;@180 099@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@0@;@10
"1108199000"@;@1 957@;@56@;@17 973@;@35 946@;@17 973@;@@;@@;@@;@19 930@;@9,82@;@9,82@;@5 029,0322@;@50,29@;@1@;@100@;@50@;@50@;@50@;@30,892
"1202420000"@;@24 600@;@10 207 854@;@1 288 795@;@1 994 663@;@1 228 898@;@62 766@;@@;@@;@1 250 629@;@1,87@;@-3,05@;@10 000@;@100@;@5@;@70@;@64,61@;@35,39@;@50@;@28,138
"1206009100"@;@34 050 833@;@79 633@;@29 650 199@;@59 202 712@;@26 720 962@;@1 816 223@;@@;@@;@61 805 176@;@53,45@;@52,03@;@9 487,7679@;@94,88@;@43@;@10@;@50,08@;@49,92@;@50@;@54,486
"1207210000"@;@6 875 879@;@1 160 627@;@285 639 403@;@380 322 436@;@259 924 558@;@47 951 503@;@@;@@;@244 563 779@;@2,35@;@-16,8@;@5 296,0728@;@52,96@;@104@;@10@;@75,1@;@24,9@;@50@;@11,48
"1211200000"@;@5 212@;@@;@1 854 965@;@1 854 965@;@1 858 520@;@13 674@;@@;@@;@1 846 503@;@0,28@;@-0,46@;@5 332,3042@;@53,32@;@11@;@40@;@100@;@0@;@50@;@14,52
"1211300000"@;@@;@@;@829 989@;@829 989@;@829 989@;@@;@@;@@;@829 989@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"1211500000"@;@@;@@;@808 830@;@809 386@;@808 830@;@5 723@;@@;@@;@808 830@;@@;@0@;@@;@0@;@4@;@70@;@99,93@;@0,07@;@50@;@9,5
"1211908500"@;@@;@@;@7 816@;@7 816@;@7 816@;@@;@@;@@;@7 816@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"1211908601"@;@@;@74 448@;@421 016@;@421 016@;@391 065@;@29 951@;@@;@@;@391 065@;@@;@-7,66@;@@;@0@;@2@;@100@;@100@;@0@;@50@;@10,968
"1211908603"@;@838@;@10 053 178@;@1 383 733@;@1 400 976@;@1 383 733@;@32 200@;@@;@@;@1 352 371@;@0,06@;@-2,32@;@10 000@;@100@;@10@;@70@;@98,77@;@1,23@;@50@;@24,16
"1211908605"@;@@;@1 117 556@;@113 092@;@113 092@;@34 091@;@79 001@;@@;@@;@34 091@;@@;@-231,74@;@@;@0@;@2@;@100@;@100@;@0@;@50@;@-33,848
"1211908608"@;@158 300@;@508 754@;@2 786 376@;@2 858 298@;@2 715 169@;@175 242@;@16@;@99@;@2 769 434@;@5,38@;@-0,61@;@2 376,6757@;@23,77@;@7@;@70@;@97,48@;@2,52@;@0@;@12,93
"1211908609"@;@947 755@;@1 092 010@;@359 822@;@384 022@;@359 822@;@28 225@;@1@;@94,7@;@1 279 352@;@72,48@;@71,87@;@4 407,038@;@44,07@;@3@;@100@;@93,7@;@6,3@;@0@;@60,566
"1212210000"@;@385 401@;@@;@3 071 602@;@3 073 334@;@2 479 092@;@593 918@;@@;@@;@2 863 085@;@11,15@;@-7,28@;@3 062,0026@;@30,62@;@5@;@70@;@99,94@;@0,06@;@50@;@17,104
"1212999500"@;@858 772@;@3 610 210@;@398 941@;@398 941@;@398 941@;@@;@@;@@;@1 257 713@;@68,28@;@68,28@;@3 553,5637@;@35,54@;@1@;@100@;@100@;@0@;@50@;@58,768
"1214100000"@;@134 850@;@@;@14 913@;@14 913@;@14 913@;@@;@@;@@;@149 763@;@90,04@;@90,04@;@10 000@;@100@;@1@;@100@;@100@;@0@;@50@;@81,524
"1302110000"@;@@;@@;@5 681 764@;@5 699 283@;@5 196 963@;@1 207 807@;@@;@@;@5 196 963@;@@;@-9,33@;@@;@0@;@4@;@70@;@99,69@;@0,31@;@50@;@7,634
"1302120000"@;@3 324@;@38 973 628@;@35 077 359@;@36 303 885@;@31 999 960@;@5 057 142@;@@;@@;@30 023 541@;@0,01@;@-16,83@;@10 000@;@100@;@24@;@10@;@96,62@;@3,38@;@50@;@15,438
"1302201000"@;@1 395 704@;@@;@9 205@;@9 205@;@9 205@;@@;@@;@@;@1 404 909@;@99,34@;@99,34@;@3 851,8704@;@38,52@;@1@;@100@;@100@;@0@;@50@;@77,904
"1302329000"@;@188 051@;@@;@3 114 992@;@3 131 063@;@3 114 992@;@@;@@;@@;@3 303 043@;@5,69@;@5,69@;@3 976,5453@;@39,77@;@2@;@100@;@99,49@;@0,51@;@50@;@22,014
"1302390000"@;@1 827 938@;@@;@35 482@;@35 482@;@35 482@;@@;@@;@@;@1 863 420@;@98,1@;@98,1@;@3 327,8069@;@33,28@;@1@;@100@;@100@;@0@;@50@;@76,36
"1404200000"@;@@;@@;@26 057 694@;@30 738 051@;@18 720 662@;@12 055 497@;@@;@@;@18 720 662@;@@;@-39,19@;@@;@0@;@106@;@10@;@84,77@;@15,23@;@50@;@-2,838
"144200000"@;@@;@@;@108 311@;@108 311@;@108 311@;@@;@@;@@;@108 311@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"1502109000"@;@@;@@;@26 920@;@46 414@;@26 920@;@@;@@;@@;@26 920@;@@;@0@;@@;@0@;@1@;@100@;@58@;@42@;@50@;@16,7
"1503001100"@;@@;@@;@208 581@;@209 284@;@208 581@;@@;@@;@@;@208 581@;@@;@0@;@@;@0@;@2@;@100@;@99,66@;@0,34@;@50@;@12,5
"1504101000"@;@@;@@;@95 236@;@95 236@;@103 920@;@36 955@;@@;@@;@103 920@;@@;@8,36@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@14,172
"1505001000"@;@@;@@;@1 436 013@;@1 559 208@;@1 133 477@;@302 275@;@@;@@;@1 133 477@;@@;@-26,69@;@@;@0@;@5@;@70@;@92,1@;@7,9@;@50@;@4,962
"1505009000"@;@206 915@;@@;@331 309@;@421 807@;@331 309@;@@;@@;@@;@538 224@;@38,44@;@38,44@;@3 650,5584@;@36,51@;@2@;@100@;@78,55@;@21,45@;@50@;@43,164
"1506000000"@;@@;@@;@1 833 840@;@1 833 840@;@1 719 952@;@662 303@;@@;@@;@1 719 952@;@@;@-6,62@;@@;@0@;@3@;@100@;@100@;@0@;@50@;@11,176
"1507101000"@;@@;@@;@53 927@;@53 927@;@51 327@;@2 599@;@@;@@;@51 327@;@@;@-5,07@;@@;@0@;@2@;@100@;@100@;@0@;@50@;@11,486
"1507901000"@;@12 785@;@@;@4 998 018@;@5 697 563@;@4 998 018@;@@;@@;@@;@5 010 803@;@0,26@;@0,26@;@9 924,2888@;@99,24@;@2@;@100@;@87,72@;@12,28@;@50@;@28,756
"1507909009"@;@@;@@;@184 921@;@186 048@;@184 921@;@@;@@;@@;@184 921@;@@;@0@;@@;@0@;@3@;@100@;@99,39@;@0,61@;@50@;@12,6
"1508901000"@;@@;@@;@15 321@;@30 642@;@15 321@;@@;@@;@@;@15 321@;@@;@0@;@@;@0@;@1@;@100@;@50@;@50@;@50@;@17,5
"1512111000"@;@26 666@;@@;@17 587 004@;@17 607 116@;@17 550 802@;@67 085@;@@;@@;@17 546 585@;@0,15@;@-0,23@;@10 000@;@100@;@11@;@40@;@99,89@;@0,11@;@50@;@21,514
"1512119101"@;@232 117@;@14 398 423@;@1 422 524@;@1 422 524@;@1 422 524@;@@;@@;@@;@1 654 641@;@14,03@;@14,03@;@10 000@;@100@;@2@;@100@;@100@;@0@;@50@;@35,918
"1512119909"@;@1 510 806@;@135 000@;@6 147 070@;@6 265 839@;@6 072 651@;@75 730@;@@;@@;@7 582 146@;@19,73@;@18,93@;@10 000@;@100@;@7@;@70@;@98,1@;@1,9@;@50@;@36,378
"1512191000"@;@1 552 986@;@@;@37 103 074@;@37 104 259@;@42 317 427@;@3 116 271@;@@;@@;@35 539 789@;@4,02@;@-4,4@;@10 000@;@100@;@6@;@70@;@100@;@0@;@50@;@25,228
"1512199001"@;@@;@@;@5 871 839@;@5 871 839@;@5 867 501@;@4 337@;@@;@@;@5 867 501@;@@;@-0,07@;@@;@0@;@4@;@70@;@100@;@0@;@50@;@9,486
"1512199002"@;@154 947 704@;@5 729 826@;@58 459 609@;@59 491 924@;@58 593 764@;@3 401 743@;@@;@@;@204 275 744@;@72,61@;@71,38@;@4 898,3805@;@48,98@;@5@;@70@;@98,26@;@1,74@;@50@;@60,32
"1512199009"@;@375 873@;@@;@23 998 886@;@24 581 431@;@17 813 471@;@9 470 813@;@@;@@;@14 903 946@;@1,54@;@-61,02@;@6 320,1402@;@63,2@;@7@;@70@;@97,63@;@2,37@;@50@;@7,612
"1512211000"@;@@;@@;@39 506 593@;@39 773 495@;@26 790 810@;@12 261 813@;@@;@@;@26 790 810@;@@;@-47,46@;@@;@0@;@25@;@10@;@99,33@;@0,67@;@50@;@-5,892
"1512219000"@;@179 045@;@1 452 496@;@20 161 647@;@20 775 028@;@16 650 196@;@7 118 654@;@@;@@;@13 222 038@;@0,88@;@-52,49@;@10 000@;@100@;@9@;@70@;@97,05@;@2,95@;@50@;@14,654
"1512291000"@;@@;@@;@130 180 706@;@170 021 641@;@112 956 840@;@12 605 779@;@1@;@63,72@;@112 956 840@;@@;@-15,25@;@@;@0@;@46@;@10@;@76,57@;@23,43@;@0@;@0,25
"1512299000"@;@2 185 815@;@19 921 703@;@30 629 427@;@50 766 072@;@28 254 725@;@9 311 252@;@@;@@;@23 503 990@;@6,66@;@-30,32@;@10 000@;@100@;@32@;@10@;@60,33@;@39,67@;@50@;@19,1
"1514191000"@;@@;@@;@71 804@;@71 804@;@@;@71 804@;@@;@@;@0@;@@;@@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"1514199001"@;@269 089@;@@;@120 906@;@134 340@;@@;@120 906@;@@;@@;@269 089@;@69@;@55,07@;@9 706,4402@;@97,06@;@1@;@100@;@90@;@10@;@50@;@66,714
"1515110000"@;@46 473@;@57 756@;@74 020@;@74 020@;@74 020@;@@;@@;@@;@120 493@;@38,57@;@38,57@;@9 189,9369@;@91,9@;@5@;@70@;@100@;@0@;@50@;@46,442
"1515199000"@;@1 037@;@27 573@;@17 639@;@17 639@;@17 639@;@@;@@;@@;@18 676@;@5,55@;@5,55@;@6 084,8482@;@60,85@;@1@;@100@;@100@;@0@;@50@;@24,93
"1515301000"@;@19 760@;@3 000@;@171 452@;@222 360@;@171 452@;@@;@@;@@;@191 212@;@10,33@;@10,33@;@10 000@;@100@;@2@;@100@;@77,11@;@22,89@;@50@;@35,998
"1515309000"@;@147 315@;@@;@786 079@;@873 421@;@432 343@;@3 744@;@@;@@;@929 650@;@15,78@;@15,44@;@3 464,0359@;@34,64@;@1@;@100@;@90@;@10@;@50@;@28,1
"1515501100"@;@@;@@;@1 299 658@;@1 299 658@;@1 378 918@;@682 385@;@@;@@;@1 378 918@;@@;@5,75@;@@;@0@;@9@;@70@;@100@;@0@;@50@;@10,65
"1515600000"@;@17 400@;@@;@380 467@;@385 361@;@231 649@;@626 894@;@@;@@;@231 649@;@4,37@;@-64,24@;@10 000@;@100@;@2@;@100@;@98,73@;@1,27@;@50@;@16,5
"1515901100"@;@77@;@@;@438 774@;@569 836@;@438 774@;@235 923@;@@;@@;@202 928@;@0,02@;@-116,22@;@10 000@;@100@;@1@;@100@;@77@;@23@;@50@;@6,564
"1516201000"@;@67 745@;@@;@672@;@672@;@672@;@@;@@;@@;@68 417@;@99,02@;@99,02@;@7 279,757@;@72,8@;@1@;@100@;@100@;@0@;@50@;@82,812
"1516209601"@;@@;@105@;@172 964@;@3 747 553@;@172 964@;@@;@@;@@;@172 964@;@@;@0@;@@;@0@;@1@;@100@;@4,62@;@95,38@;@50@;@22
"1517101000"@;@@;@@;@28 172 014@;@28 856 523@;@30 410 918@;@1 304 933@;@@;@@;@30 410 918@;@@;@7,36@;@@;@0@;@10@;@70@;@97,63@;@2,37@;@50@;@11,172
"1517109000"@;@20 682 413@;@2 268 099@;@26 082 773@;@29 398 633@;@21 639 793@;@4 559 003@;@3@;@94,67@;@42 206 183@;@44,23@;@38,2@;@7 478,265@;@74,78@;@14@;@40@;@88,72@;@11,28@;@0@;@41,632
"1517901000"@;@132 193@;@@;@3 503 063@;@3 553 327@;@3 256 035@;@392 840@;@1@;@100@;@3 242 416@;@3,64@;@-8,04@;@10 000@;@100@;@6@;@70@;@98,59@;@1,41@;@0@;@21,948
"1517909100"@;@3 523 592@;@2 658 814@;@1 158 678@;@1 232 012@;@1 158 678@;@@;@@;@@;@4 682 270@;@75,25@;@75,25@;@7 103,8098@;@71,04@;@1@;@100@;@94,05@;@5,95@;@50@;@68,95
"1517909300"@;@230 408@;@@;@391 641@;@415 426@;@391 641@;@26@;@@;@@;@622 023@;@37,04@;@37,04@;@4 168,4505@;@41,68@;@3@;@100@;@94,27@;@5,73@;@50@;@41,624
"1517909900"@;@55 781 459@;@753 610@;@1 245 105@;@1 263 957@;@1 309 402@;@95 233@;@4@;@61,83@;@56 177 721@;@97,82@;@97,78@;@2 664,7519@;@26,65@;@4@;@70@;@98,51@;@1,49@;@0@;@69,784
"1518001000"@;@@;@@;@213 692@;@218 978@;@184 010@;@29 682@;@@;@@;@184 010@;@@;@-16,13@;@@;@0@;@1@;@100@;@97,59@;@2,41@;@50@;@9,474
"1518003100"@;@@;@@;@17 854@;@17 854@;@17 854@;@@;@@;@@;@17 854@;@@;@0@;@@;@0@;@1@;@100@;@100@;@0@;@50@;@12,5
"1520000000"@;@2 742@;@452@;@217 947@;@219 300@;@178 446@;@57 341@;@@;@@;@163 348@;@1,24@;@-33,42@;@6 448,8641@;@64,49@;@6@;@70@;@99,38@;@0,62@;@50@;@13,112
"1521100000"@;@26 965@;@@;@20 967@;@26 209@;@20 967@;@@;@@;@@;@47 932@;@56,26@;@56,26@;@5 653,8779@;@56,54@;@1@;@100@;@80@;@20@;@50@;@56,756
"1522003100"@;@@;@@;@1 986 343@;@2 080 745@;@1 856 095@;@217 981@;@@;@@;@1 856 095@;@@;@-7,02@;@@;@0@;@24@;@10@;@95,46@;@4,54@;@50@;@2,596
"1522003900"@;@@;@@;@1 103 520@;@1 141 055@;@1 103 520@;@161 131@;@@;@@;@1 103 520@;@@;@0@;@@;@0@;@1@;@100@;@96,71@;@3,29@;@50@;@12,8
"1522009100"@;@115 944@;@2 637@;@230 976@;@2 965 732@;@@;@@;@@;@@;@346 920@;@33,42@;@33,42@;@5 007,5272@;@50,08@;@1@;@100@;@7,79@;@92,21@;@50@;@49,252
"1522009900"@;@45 647@;@54 034@;@2 024 937@;@2 433 369@;@1 623 193@;@56 996@;@@;@@;@2 013 588@;@2,2@;@-0,56@;@5 447,1206@;@54,47@;@2@;@100@;@83,22@;@16,78@;@50@;@23,168
"7019710001"@;@1 693@;@@;@@;@@;@@;@@;@@;@@;@1 693@;@100@;@@;@5 217,6584@;@52,18@;@0@;@100@;@@;@@;@100@;@62,8
"1601001000"@;@7 525@;@@;@102 334 584@;@114 013 638@;@101 286 736@;@3 007 186@;@@;@@;@99 334 923@;@0,01@;@-3,02@;@10 000@;@100@;@62@;@10@;@89,76@;@10,24@;@50@;@18,9
"1601009100"@;@@;@@;@8 883 471@;@9 903 535@;@8 548 887@;@60 191@;@@;@@;@8 548 887@;@@;@-3,91@;@@;@0@;@14@;@40@;@89,7@;@10,3@;@50@;@6,718
"1601009109"@;@2 179@;@194 208@;@13 049 740@;@13 484 757@;@5 769 847@;@2 200 366@;@@;@@;@10 851 553@;@0,02@;@-20,26@;@10 000@;@100@;@8@;@70@;@96,77@;@3,23@;@50@;@20,756
"1601009900"@;@@;@@;@44 185 910@;@53 600 545@;@43 800 730@;@218 186@;@@;@@;@43 800 730@;@@;@-0,88@;@@;@0@;@42@;@10@;@82,44@;@17,56@;@50@;@5,124
"1601009901"@;@2 116 928@;@884 170@;@1 791 949@;@3 298 184@;@1 780 417@;@28 780@;@11@;@54,66@;@3 880 097@;@54,16@;@53,82@;@4 136,865@;@41,37@;@3@;@100@;@54,33@;@45,67@;@0@;@53,228
"1601009909"@;@2 410 164@;@712 934@;@477 326@;@509 633@;@477 326@;@@;@@;@@;@2 174 556@;@83,47@;@78,05@;@4 743,6524@;@47,44@;@5@;@70@;@93,66@;@6,34@;@50@;@66,198
"1602201000"@;@6 561@;@@;@5 743 310@;@5 979 990@;@5 689 522@;@56 132@;@@;@@;@5 693 739@;@0,11@;@-0,87@;@9 391,7192@;@93,92@;@12@;@40@;@96,04@;@3,96@;@50@;@20,87
"1602209000"@;@22 618@;@@;@586 728@;@629 845@;@429 465@;@17 023@;@@;@@;@592 323@;@3,71@;@0,94@;@10 000@;@100@;@3@;@100@;@93,15@;@6,85@;@50@;@29,872
"1602311100"@;@@;@@;@1 206 002@;@1 274 311@;@1 206 002@;@51 457@;@@;@@;@1 206 002@;@@;@0@;@@;@0@;@4@;@70@;@94,64@;@5,36@;@50@;@10
"1602311900"@;@72 303@;@358@;@18 400@;@18 400@;@18 400@;@527@;@@;@@;@89 818@;@79,71@;@79,51@;@7 166,1362@;@71,66@;@1@;@100@;@100@;@0@;@50@;@70,986
"1602318000"@;@7 426@;@@;@883 354@;@984 080@;@863 739@;@47 297@;@@;@@;@843 483@;@0,83@;@-4,73@;@9 558,2152@;@95,58@;@4@;@70@;@89,76@;@10,24@;@50@;@24,186
"1602321100"@;@10 028 891@;@23 068@;@575 293@;@607 978@;@575 293@;@4 922@;@@;@@;@10 576 194@;@94,57@;@94,56@;@8 915,8955@;@89,16@;@3@;@100@;@94,62@;@5,38@;@50@;@83,14
"1602329000"@;@9 409@;@484@;@24 253@;@24 253@;@24 253@;@@;@@;@@;@33 662@;@27,95@;@27,95@;@6 046,3601@;@60,46@;@1@;@100@;@100@;@0@;@50@;@38,37
"1602398500"@;@40 232@;@@;@112 418@;@122 957@;@111 629@;@2 145@;@@;@@;@150 505@;@26,36@;@25,31@;@9 982,0162@;@99,82@;@1@;@100@;@91,43@;@8,57@;@50@;@44,006
"1602491100"@;@18 204@;@@;@136 435@;@138 136@;@136 435@;@2 280@;@@;@@;@152 359@;@11,77@;@10,45@;@8 880,805@;@88,81@;@3@;@100@;@98,77@;@1,23@;@50@;@32,698
