"id"@;@"region_soato"@;@"region_cad"@;@"region_name_uz"@;@"district_soato"@;@"district_cad"@;@"district_name_uz"@;@"area"@;@"region_name_oz"@;@"region_name_ru"@;@"region_name_qq"@;@"district_name_oz"@;@"district_name_ru"@;@"district_name_qq"@;@"district_title_oz"@;@"district_title_uz"@;@"district_title_ru"@;@"district_title_qq"
26@;@1 727@;@"0"@;@Toshkent viloyati@;@1 727 239@;@"11:14:00"@;@Yuqorichirchiq tumani@;@446,857819@;@Тошкент вилояти@;@Ташкентская область@;@Tashkent wálayatı @;@Юқоричирчиқ тумани@;@Юкоричирчикский район@;@Joqarıchirchiq rayonı @;@@;@@;@@;@
27@;@1 727@;@"0"@;@Toshkent viloyati@;@1 727 259@;@"11:15:00"@;@Yangiyo'l tumani@;@406,672791@;@Тошкент вилояти@;@Ташкентская область@;@Tashkent wálayatı @;@Янгийўл тумани@;@Янгиюльский район@;@Jańayo'l rayonı @;@@;@@;@@;@
45@;@1 724@;@"0"@;@Sirdaryo viloyati@;@1 724 413@;@"12:11:00"@;@Yangiyer@;@29,5344238@;@Сирдарё вилояти@;@Сырдарьинская область@;@Sirdaryo wálayatı @;@Янгиер@;@Янгиер@;@Jańayer@;@@;@@;@@;@
20@;@1 727@;@"0"@;@Toshkent viloyati@;@1 727 212@;@"11:08:00"@;@Ohangaron tumani@;@3 099,40454@;@Тошкент вилояти@;@Ташкентская область@;@Tashkent wálayatı @;@Оҳангарон @;@Ахангаранский район@;@Ahangaran rayonı @;@@;@@;@@;@
21@;@1 727@;@"0"@;@Toshkent viloyati@;@1 727 249@;@"11:09:00"@;@Parkent tumani@;@1 110,05908@;@Тошкент вилояти@;@Ташкентская область@;@Tashkent wálayatı @;@Паркент тумани@;@Паркентский район@;@Parkent rayonı @;@@;@@;@@;@
30@;@1 727@;@"0"@;@Toshkent viloyati@;@1 727 404@;@"11:18:00"@;@Olmaliq@;@132,673248@;@Тошкент вилояти@;@Ташкентская область@;@Tashkent wálayatı @;@Олмалиқ@;@Алмалык@;@Almalıq @;@@;@@;@@;@
147@;@1 722@;@"0"@;@Surxondaryo viloyati@;@1 722 221@;@"19:12:00"@;@Uzun tumani@;@1 774,75037@;@Сурхондарё вилояти@;@Сурхандарьинская область@;@Surxondaryo wálayatı @;@Узун тумани@;@район Узун@;@Uzın rayonı @;@@;@@;@@;@
148@;@1 722@;@"0"@;@Surxondaryo viloyati@;@1 722 223@;@"19:13:00"@;@Sherobod tumani@;@2 625,18604@;@Сурхондарё вилояти@;@Сурхандарьинская область@;@Surxondaryo wálayatı @;@Шеробод тумани@;@Шерабадский район@;@Sherobod rayonı @;@@;@@;@@;@
149@;@1 722@;@"0"@;@Surxondaryo viloyati@;@1 722 226@;@"19:14:00"@;@Sho'rchi tumani@;@770,868713@;@Сурхондарё вилояти@;@Сурхандарьинская область@;@Surxondaryo wálayatı @;@Шўрчи тумани@;@Шурчинский район@;@Kebirshi rayonı @;@@;@@;@@;@
138@;@1 722@;@"0"@;@Surxondaryo viloyati@;@1 722 204@;@"19:03:00"@;@Boysun tumani@;@3 358,66797@;@Сурхондарё вилояти@;@Сурхандарьинская область@;@Surxondaryo wálayatı @;@Бойсун тумани@;@Бойсунский район@;@Boysun rayonı @;@@;@@;@@;@
139@;@1 722@;@"0"@;@Surxondaryo viloyati@;@1 722 210@;@"19:04:00"@;@Denov tumani@;@826,470825@;@Сурхондарё вилояти@;@Сурхандарьинская область@;@Surxondaryo wálayatı @;@Денов тумани@;@Деновский район@;@Denov rayonı @;@@;@@;@@;@
140@;@1 722@;@"0"@;@Surxondaryo viloyati@;@1 722 212@;@"19:05:00"@;@Jarqo'rg'on tumani@;@1 113,50696@;@Сурхондарё вилояти@;@Сурхандарьинская область@;@Surxondaryo wálayatı @;@Жарқўрғон тумани@;@Жаркурганский район@;@Jarqo'rg'on rayonı @;@@;@@;@@;@
